OBJECTID,Class,GIS_Acres,SHAPE_Length,SHAPE_Area
1,K,26.72622878,2205.26781282249,108157.210589345
2,K,4.74117791,1424.38940110773,19186.8662713185
3,K,11.42292313,2392.28116606392,46226.9298277081
4,K,24.37961712,4078.99213708805,98660.8101323535
5,K,79.06074232,2403.73181173954,319947.472814881
6,K,27.13075403,2697.72942342625,109794.266176146
7,K,7.36359008,1417.56926977122,29799.391827041
8,K,9.6204804,1817.9118173639,38932.7029026308
9,K,9.61656314,1707.05290601338,38916.8502984861
10,K,25.79525107,1458.11839152372,104389.677466916
11,K,112.589185,3320.66245264424,455632.266396477
12,K,18.85641057,3631.73408154623,76309.1862226977
13,K,9.56685023,2404.09459112753,38715.6692843895
14,K,74.76123966,3569.01830519333,302548.002869312
15,K,15.30865764,2610.75415342119,61951.9395043266
16,K,11.35606589,2192.8807342975,45956.3681714247
17,K,788.64480658,13136.1865822381,3191532.30049775
18,K,41.36888399,3159.44276039272,167413.933863408
19,K,19.90450925,2125.61684101477,80550.6911097183
20,K,121.36246362,5384.25645160853,491136.465349015
21,K,9.00771978,1013.40956612993,36452.9486432128
22,K,16.46891543,3092.01172242235,66647.3361729584
23,K,446.72878305,10517.5734244669,1807847.24475576
24,K,22.16523339,1718.27996034851,89699.5170949588
25,K,80.80634465,5659.83078208322,327011.674822608
26,K,104.32999789,8583.7490494695,422208.522015337
27,K,14.85800172,1268.57471800564,60128.1996698342
28,K,254.65919345,8953.45426008061,1030569.19253667
29,K,14.99264114,4086.4717395541,60673.0660778857
30,K,13.56649207,1922.94483137928,54901.6455495127
31,K,11.22258427,2546.01656658635,45416.1872429741
32,K,87.17945375,7455.08742630813,352802.732322907
33,K,13.07978537,2036.39438214243,52932.013445103
34,K,36.24743069,2011.71330001143,146688.147701334
35,K,8.81805057,2197.81603684428,35685.3845907747
36,K,10.42477415,2765.62393141932,42187.5642074034
37,K,9.89725917,2191.98609927653,40052.786849103
38,K,167.50325898,6618.34086880805,677861.639387317
39,K,17.52689384,3248.64611605279,70928.8229075763
40,K,13.13410511,1495.6555407238,53151.8376301013
41,K,1371.42167245,11072.9471836754,5549946.6029546
42,K,1655.49758882,14676.6003117795,6699561.04957872
43,K,0.56732503,374.95763446488,2295.88292406098
44,K,82.43525278,5432.80344069916,333603.632152105
45,K,34.58266543,2018.02298222697,139951.081713729
46,K,16.40575798,2814.01198462394,66391.7470472603
47,K,64.41167747,3181.79633640912,260664.810628234
48,K,0.69289337,276.994874664614,2804.03999468967
49,K,2.45670757,665.140954879135,9941.94282028833
50,K,4.8608002,1459.29662007185,19670.9604873248
51,K,109.61741574,3502.38479628075,443606.496944649
52,K,9.56892371,1610.92035338506,38724.0603654022
53,K,244.49127758,14612.1155614702,989421.096891175
54,K,2324.39242338,20087.2673139926,9406482.4067212
55,K,3.42915563,1745.96307236272,13877.3004986608
56,K,500.68588131,8502.58900153013,2026203.87436714
57,K,6.40975137,1477.09780591002,25939.3435062058
58,K,9.66158519,1950.05995863766,39099.048081782
59,K,1211.96909654,16366.3028474591,4904664.92208161
60,K,10.01008751,2047.37795584466,40509.3869467277
61,K,91.16652372,6340.28999890817,368937.832028018
62,K,489.42473318,7821.87996810513,1980631.62475363
63,K,9.29834356,2261.74450172456,37629.0613599774
64,K,13.68913339,3169.80378473696,55397.9573954868
65,K,24.55761522,5473.83950733246,99381.1428566148
66,K,27.50824048,1774.31162558433,111321.899640868
67,K,27.46281333,2387.47410948115,111138.062496985
68,K,16.80008761,1729.93233393426,67987.5424301391
69,K,10.46627201,1249.80535603878,42355.5001073879
70,K,9.08706221,1833.47670107601,36774.0360771508
71,K,28.15046382,2307.30662064285,113920.885322913
72,K,28.13285935,3582.21048394383,113849.642554326
73,K,593.43853905,9258.58896667414,2401560.56306208
74,K,0.00182482,13.8564284570907,7.38477062098308
75,K,10.37304593,1234.32803529385,41978.2275385519
76,K,154.54385155,3265.4623658285,625416.778180463
77,K,4.2761102,1121.75469693764,17304.8040192473
78,K,12.52949699,2401.55659874455,50705.075383303
79,K,1.48561272,609.337160946206,6012.06138547165
80,K,15.97392393,2265.47516491581,64644.1766406958
81,K,1138.24204125,19828.2115282881,4606302.11486203
82,K,37.76985141,5074.73229815605,152849.165767633
83,K,8.75369595,2191.00741521202,35424.9506950926
84,K,31.73783259,4285.99016959744,128438.451660675
85,K,27.77560374,1871.2523472484,112403.880396816
86,K,9.76481415,2881.36536738067,39516.8008449439
87,K,4.62383098,1148.24677659551,18711.9801108449
88,K,8.60240527,1908.15228145607,34812.6990049877
89,K,63.11389886,3087.59702284017,255412.886956085
90,K,13.22709104,3535.336831275,53528.1383250021
91,K,2165.16775805,16281.1800876583,8762123.04725672
92,K,45.97008729,4021.36308992348,186034.342991573
93,K,17.74099444,1101.9393817502,71795.2572750939
94,K,579.62208861,23675.8127492858,2345647.37185801
95,K,66.31269822,3069.24740649484,268357.968661678
96,K,12.93112442,2997.46580922319,52330.4039130628
97,K,4544.27147723,33540.8922655208,18390014.2127556
98,K,11.60196268,1357.12724280825,46951.4771701303
99,K,8.99369026,2353.64157955381,36396.1731736498
100,K,34.63989169,2831.32747791233,140182.668174365
101,K,14.72475567,1339.99701571884,59588.9720626737
102,K,18.21832294,2161.28237401553,73726.9371927808
103,K,86.61028799,6596.62361286111,350499.400192776
104,K,8.49168763,1689.43502725552,34364.64061001
105,K,9.46613189,2312.6732035699,38308.0766206465
106,K,630.62131909,23996.3229281974,2552033.93527914
107,K,1713.15123303,54748.1279329605,6932877.06992824
108,K,147.2684372,9729.11626923136,595974.220884104
109,K,338.34269624,6276.8115080981,1369224.31324645
110,K,3.83260085,497.798133672898,15509.9853462327
111,K,26.89264791,2367.76140387774,108830.684929909
112,K,4.04337003,700.736076216199,16362.9379742223
113,K,7.12259276,2087.9479836761,28824.1102382674
114,K,6.55780849,653.845614176671,26538.5094143923
115,K,33.94573369,3832.85476434553,137373.510403063
116,K,8.61271293,1445.05141768031,34854.4126306392
117,K,87.60769169,8504.71392197836,354535.749764691
118,K,8.11453581,1508.41610370607,32838.3613612266
119,K,4.26495399,1966.39314829855,17259.65645284
120,K,20.32843462,4934.5509803241,82266.2561887553
121,K,15.73741344,3006.41531247949,63687.0526675351
122,K,23.73697538,4043.14334720792,96060.1312526648
123,K,14.27175579,1913.66922580653,57755.7465894999
124,K,39.16640025,4152.99300330128,158500.7983976
125,K,9053.42216027,52540.5827428598,36637899.6139958
