OBJECTID,LANDUSE_TYPE,LANDUSE_SUBTYPE,LANDUSE_KEY,SHAPE_Length,SHAPE_Area
1,1,200,.1-.2 DU/AC,2814.91954839924,-126616.858627818
2,1,200,.1-.2 DU/AC,32675.1318780228,-32832777.3726777
5,1,200,.1-.2 DU/AC,6655.23208459148,-2547910.60321755
6,1,200,.1-.2 DU/AC,82320.9214050315,-105139453.237798
7,1,200,.1-.2 DU/AC,5108.53279117651,-1131503.18978063
8,1,200,.1-.2 DU/AC,3988.58151288352,-725422.478187128
9,1,200,.1-.2 DU/AC,4071.94672577781,-1013998.99998099
10,1,200,.1-.2 DU/AC,146945.021469649,-70448523.1121842
11,1,200,.1-.2 DU/AC,1527.12147704102,-88952.3724209444
12,1,200,.1-.2 DU/AC,1951.92951851073,-148983.76880095
14,1,200,.1-.2 DU/AC,895.797280710967,-27674.049749297
15,1,200,.1-.2 DU/AC,540.170494863488,-15254.9818902092
16,1,200,.1-.2 DU/AC,2734.84655511727,-162976.596325426
17,1,200,.1-.2 DU/AC,3475.12389042734,-505353.778975738
18,1,200,.1-.2 DU/AC,3877.43055135579,-387515.628217696
19,1,200,.1-.2 DU/AC,2842.37801262934,-422646.821114691
20,1,200,.1-.2 DU/AC,1872.03233845831,-178061.183677545
21,1,200,.1-.2 DU/AC,843929.847803841,-351631573.547196
22,1,200,.1-.2 DU/AC,3133.90892234854,-594910.611232817
23,1,200,.1-.2 DU/AC,11482.8817790979,-2341411.24683121
24,1,200,.1-.2 DU/AC,9758.97521472682,-2751405.70385943
25,1,200,.1-.2 DU/AC,8447.77583182284,-2174313.0671661
26,1,200,.1-.2 DU/AC,11604.5476723825,-3622462.44084424
27,1,200,.1-.2 DU/AC,21996.5086641136,-7297011.34572117
28,1,200,.1-.2 DU/AC,11381.100726588,-5550731.52693238
29,1,200,.1-.2 DU/AC,3394.10323720416,-494466.139857252
30,1,200,.1-.2 DU/AC,76056.0727653077,-40729152.9231675
31,1,200,.1-.2 DU/AC,5587.77342592422,-1666580.88575223
32,1,200,.1-.2 DU/AC,55910.8550302219,-23885958.2856561
33,1,200,.1-.2 DU/AC,2952.78814695273,-447503.710974834
34,1,200,.1-.2 DU/AC,205147.320053762,-162508776.109584
35,1,200,.1-.2 DU/AC,53164.4958152753,-45553882.7733736
36,1,200,.1-.2 DU/AC,2927.60889146143,-378639.883788222
37,1,200,.1-.2 DU/AC,3063.31222159736,-445590.121763656
38,1,200,.1-.2 DU/AC,19160.5474797753,-10254830.0342597
39,1,200,.1-.2 DU/AC,4565.25114066069,-1039067.19318788
40,1,200,.1-.2 DU/AC,11406.0932776709,-4255545.82084305
41,1,200,.1-.2 DU/AC,14919.0007290847,-4423394.40871108
43,1,200,.1-.2 DU/AC,4156.47767343935,-981191.96450346
44,1,200,.1-.2 DU/AC,8783.57116549274,-2948239.24008236
46,1,200,.1-.2 DU/AC,12908.6842245951,-3304116.16858318
47,1,200,.1-.2 DU/AC,16109.2647924737,-10359237.2593914
48,1,200,.1-.2 DU/AC,3973.60711975418,-928940.112002997
49,1,200,.1-.2 DU/AC,657.493903294936,-26841.2112562459
50,1,200,.1-.2 DU/AC,1710.96671820233,-83516.0475822112
51,1,200,.1-.2 DU/AC,31918.7964707438,-22369204.403721
52,1,200,.1-.2 DU/AC,3406.09496522856,-447273.634357356
53,1,200,.1-.2 DU/AC,2515.53252803624,-303938.763453344
55,1,200,.1-.2 DU/AC,23968.1096843003,-9219485.19085146
57,1,200,.1-.2 DU/AC,2093.38597224654,-186218.361791868
58,1,200,.1-.2 DU/AC,117390.563411081,-62616120.2664172
60,1,200,.1-.2 DU/AC,736.416113143702,-32895.9182842558
61,1,200,.1-.2 DU/AC,12162.9826150146,-3928075.44716052
62,1,200,.1-.2 DU/AC,10935.5137845967,-5496727.96810763
63,1,200,.1-.2 DU/AC,4752.41594724476,-221705.839728457
65,1,200,.1-.2 DU/AC,925.598000238023,-24187.6911894781
66,1,200,.1-.2 DU/AC,1074.36025486403,-33684.2101377502
68,1,200,.1-.2 DU/AC,3408.00347756884,-444795.742803181
69,1,200,.1-.2 DU/AC,10956.0188673025,-1705190.04581421
70,1,200,.1-.2 DU/AC,1422.11844802236,-56168.1977419144
71,1,200,.1-.2 DU/AC,622.662300458639,-21482.908315148
72,1,200,.1-.2 DU/AC,827.535089405659,-29819.1962482201
73,1,200,.1-.2 DU/AC,7585.84868466339,-1691036.3093806
74,1,200,.1-.2 DU/AC,3023.14196726464,-357062.352851523
75,1,200,.1-.2 DU/AC,77810.6108248649,-36366884.4266989
76,1,200,.1-.2 DU/AC,4318.55564245004,-881196.258980864
77,1,200,.1-.2 DU/AC,2618.64204838359,-311313.171818891
78,1,200,.1-.2 DU/AC,5812.96082470495,-872072.729287414
79,1,200,.1-.2 DU/AC,27225.494355726,-4378645.37301137
80,1,200,.1-.2 DU/AC,3450.65282786561,-645570.802754806
81,1,200,.1-.2 DU/AC,2557.64526278907,-324543.130988706
82,1,200,.1-.2 DU/AC,13278.5262706716,-2356116.54563094
83,1,200,.1-.2 DU/AC,4683.93550483587,-598085.108415049
84,1,200,.1-.2 DU/AC,3746.48026241772,-668131.48687426
85,1,200,.1-.2 DU/AC,3694.8236500662,-427995.050826952
86,1,200,.1-.2 DU/AC,4530.65907227781,-1184240.11410968
87,1,200,.1-.2 DU/AC,2006.94167700161,-210928.38509161
88,1,200,.1-.2 DU/AC,15131.8141565693,-4717231.30885804
89,1,200,.1-.2 DU/AC,18217.3155416633,-8343934.6164247
90,1,200,.1-.2 DU/AC,11360.0611017514,-3382516.69077445
91,1,200,.1-.2 DU/AC,95692.0992968827,-125440605.876572
92,1,201,.2-.5 DU/AC,12353.5279340219,-2991280.12104994
93,1,201,.2-.5 DU/AC,2743.38531792119,-435596.369520059
94,1,201,.2-.5 DU/AC,6665.54611507064,-1264959.88277316
95,1,201,.2-.5 DU/AC,20132.7510927393,-7100859.55489675
96,1,201,.2-.5 DU/AC,22187.430951031,-8234793.03103794
97,1,201,.2-.5 DU/AC,16661.0252121591,-9072440.14801067
98,1,201,.2-.5 DU/AC,4684.11111618034,-386689.096099174
99,1,201,.2-.5 DU/AC,1354.03974237291,-108868.168711939
100,1,201,.2-.5 DU/AC,16376.2322550536,-8909757.3951433
101,1,201,.2-.5 DU/AC,59402.2396461296,-31520320.0128744
102,1,201,.2-.5 DU/AC,2742.7755128995,-456436.631549437
103,1,201,.2-.5 DU/AC,2452.37166284538,-180862.69647946
104,1,201,.2-.5 DU/AC,18419.8968740344,-6637007.50609808
105,1,201,.2-.5 DU/AC,934.329246007203,-47308.0501562933
106,1,201,.2-.5 DU/AC,2048.11817524267,-254856.432546296
107,1,201,.2-.5 DU/AC,2392.76330331885,-251097.938258452
108,1,201,.2-.5 DU/AC,4405.11897363715,-571687.02942121
109,1,201,.2-.5 DU/AC,1127.54417814303,-75891.8319165894
110,1,201,.2-.5 DU/AC,2158.50894550453,-159813.400395772
111,1,201,.2-.5 DU/AC,3618.94167789156,-334738.568536368
112,1,201,.2-.5 DU/AC,2833.92627374376,-368899.569531681
113,1,201,.2-.5 DU/AC,3388.21511442044,-225315.059134398
114,1,201,.2-.5 DU/AC,850.353820437842,-42528.1268252925
115,1,201,.2-.5 DU/AC,7385.93537059065,-727641.72054496
116,1,201,.2-.5 DU/AC,3027.18574908202,-303787.631797847
117,1,201,.2-.5 DU/AC,14364.6387314781,-2486918.44913832
118,1,201,.2-.5 DU/AC,2895.98703029907,-341544.60601699
119,1,201,.2-.5 DU/AC,3365.14365047904,-328615.749102965
120,1,201,.2-.5 DU/AC,4140.66036136404,-357114.899693084
121,1,201,.2-.5 DU/AC,4069.99913739969,-665884.180604531
122,1,201,.2-.5 DU/AC,6288.2491168578,-782179.376462611
123,1,201,.2-.5 DU/AC,6336.47864457362,-693715.343164435
124,1,201,.2-.5 DU/AC,14723.4931980099,-1466557.19790967
125,1,201,.2-.5 DU/AC,7262.36487653053,-1319842.09276746
126,1,201,.2-.5 DU/AC,3565.7429272207,-349021.467155272
127,1,201,.2-.5 DU/AC,11553.9901110149,-1836498.32748973
128,1,201,.2-.5 DU/AC,3099.04601969983,-346141.067921798
129,1,201,.2-.5 DU/AC,12355.4768052544,-2444985.99749153
130,1,201,.2-.5 DU/AC,5613.29290166196,-934765.362228491
131,1,201,.2-.5 DU/AC,2797.71980284015,-367426.718790603
132,1,201,.2-.5 DU/AC,1865.48145406365,-214894.583744227
133,1,201,.2-.5 DU/AC,7242.00940779005,-1199148.52698382
134,1,201,.2-.5 DU/AC,5683.29189296614,-735829.918899689
135,1,201,.2-.5 DU/AC,4576.0491979628,-625428.115831924
136,1,201,.2-.5 DU/AC,1965.63106412255,-150596.373082246
137,1,201,.2-.5 DU/AC,10234.4979267512,-2833219.75023637
138,1,201,.2-.5 DU/AC,5053.78222759845,-872682.58639982
139,1,201,.2-.5 DU/AC,12174.7073856612,-1806190.02760161
140,1,201,.2-.5 DU/AC,1668.36038406844,-163208.661957579
141,1,201,.2-.5 DU/AC,5.82341903817787,-0.14980933773734
142,1,201,.2-.5 DU/AC,7554.43278051333,-609749.65773298
143,1,201,.2-.5 DU/AC,16471.5453699697,-3623689.77220146
144,1,201,.2-.5 DU/AC,4098.95978818133,-550480.958753149
145,1,201,.2-.5 DU/AC,1946.82110020749,-137974.958201147
146,1,201,.2-.5 DU/AC,2246.40775612749,-305462.631793903
147,1,201,.2-.5 DU/AC,1689.53863744223,-132566.220789616
148,1,201,.2-.5 DU/AC,978.021339621723,-44946.13397162
149,1,201,.2-.5 DU/AC,1531.83016342893,-113614.890556263
150,1,201,.2-.5 DU/AC,33051.8191389995,-7484263.88726458
151,1,201,.2-.5 DU/AC,3133.88228507473,-274341.869173228
152,1,201,.2-.5 DU/AC,3838.45550528132,-647246.538050687
153,1,201,.2-.5 DU/AC,1151.53654003629,-79382.8491024148
154,1,201,.2-.5 DU/AC,23284.205426349,-3004198.08365503
155,1,201,.2-.5 DU/AC,11863.9492781576,-2324817.6262779
156,1,201,.2-.5 DU/AC,10008.8140939054,-1181485.41955795
157,1,201,.2-.5 DU/AC,4977.48397546521,-381602.594573987
158,1,201,.2-.5 DU/AC,8598.01293185403,-997361.667366087
159,1,201,.2-.5 DU/AC,22763.7791976684,-3127079.46778576
160,1,201,.2-.5 DU/AC,2245.34038041203,-229562.751776773
161,1,201,.2-.5 DU/AC,8745.99793816496,-1372429.03285382
162,1,201,.2-.5 DU/AC,4591.71889804348,-1244082.78016714
163,1,201,.2-.5 DU/AC,6070.47378251945,-976564.080214059
164,1,201,.2-.5 DU/AC,3156.65287313962,-535274.469872082
165,1,201,.2-.5 DU/AC,1878.91033052546,-166347.466371117
166,1,201,.2-.5 DU/AC,9842.22065510472,-1559531.02297238
167,1,201,.2-.5 DU/AC,861.02409961864,-44853.8813643691
168,1,201,.2-.5 DU/AC,10100.8199094929,-2278026.55101628
169,1,201,.2-.5 DU/AC,5150.90387730849,-862666.037867259
170,1,201,.2-.5 DU/AC,15976.1643663249,-2526115.70541647
171,1,201,.2-.5 DU/AC,2707.32117453944,-350461.319779766
172,1,201,.2-.5 DU/AC,1281.6106503278,-65096.2619318002
173,1,201,.2-.5 DU/AC,9655.66504870611,-2249703.65924102
174,1,201,.2-.5 DU/AC,38281.2662741889,-8496161.57532706
175,1,201,.2-.5 DU/AC,1011.49570530289,-49037.3208416235
176,1,201,.2-.5 DU/AC,7498.16997197118,-2433969.17643806
177,1,201,.2-.5 DU/AC,12682.25857038,-3756820.12710962
178,1,201,.2-.5 DU/AC,14197.5246730225,-3144852.75575378
179,1,201,.2-.5 DU/AC,5471.42700109911,-808342.42510123
180,1,201,.2-.5 DU/AC,2861.50930992709,-442557.914671194
181,1,201,.2-.5 DU/AC,3291.72412653051,-431235.752788781
182,1,201,.2-.5 DU/AC,18502.5613195535,-5206424.46814906
183,1,201,.2-.5 DU/AC,1256.68435757302,-106398.582935742
184,1,201,.2-.5 DU/AC,3273.67076189543,-507122.866503402
185,1,201,.2-.5 DU/AC,4593.75826391734,-1026252.26682196
186,1,201,.2-.5 DU/AC,6639.76669494173,-1510826.30231584
187,1,201,.2-.5 DU/AC,4323.89350952402,-884085.245119152
188,1,201,.2-.5 DU/AC,6066.85590621258,-1598577.11107757
189,1,201,.2-.5 DU/AC,21668.2909656944,-5040060.22398906
190,1,201,.2-.5 DU/AC,3055.9346131738,-290839.422800155
191,1,201,.2-.5 DU/AC,4700.83394163128,-904264.439874686
192,1,201,.2-.5 DU/AC,8945.97658094029,-2351898.03901683
193,1,201,.2-.5 DU/AC,3962.31610920412,-397487.157482238
194,1,201,.2-.5 DU/AC,4829.99625930023,-458290.434564119
195,1,201,.2-.5 DU/AC,44023.5445221596,-42203061.0934132
196,1,201,.2-.5 DU/AC,19170.5486427078,-7796720.34826124
197,1,201,.2-.5 DU/AC,19035.4388056791,-10332951.9666858
198,1,201,.2-.5 DU/AC,43836.1261278017,-43140836.2371446
199,1,201,.2-.5 DU/AC,27934.8725611073,-19725584.0599457
200,1,201,.2-.5 DU/AC,36864.0419729137,-19299360.0300522
201,1,201,.2-.5 DU/AC,6994.83355716026,-2486438.48291517
202,1,201,.2-.5 DU/AC,9274.4409234838,-2900295.98449749
203,1,201,.2-.5 DU/AC,1243.53860586688,-13116.671506795
204,1,201,.2-.5 DU/AC,162316.41389279,-342064236.975425
205,1,202,.5-1 DU/AC,5724.99758790778,-1661027.39203936
206,1,202,.5-1 DU/AC,6722.00695111595,-1423867.11999572
207,1,202,.5-1 DU/AC,46225.8539800296,-40932640.7072476
208,1,202,.5-1 DU/AC,17166.2010453438,-6552701.76649927
209,1,202,.5-1 DU/AC,19619.5382685636,-16866622.2150123
