OBJECTID_12,ZIPCODE,ZIPCITY,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length
4,20190,RESTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,127740012.46875,63478.2174939885
5,22101,MCLEAN,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,361273526.140625,87723.8125403861
6,20124,CLIFTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,620917087.804688,214235.899843817
7,22308,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,126244903.953125,56506.6004330022
9,20170,HERNDON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,254625295.78125,113057.514084425
10,22183,VIENNA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,22927.90625,1234.65389085182
11,22079,LORTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,819922913.625,237325.899667875
12,22153,SPRINGFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,239817615.867188,101609.691519479
13,22041,FALLS CHURCH,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,81071346.3984375,73012.2603001355
14,20171,HERNDON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,329392173.382813,104107.70514939
16,22312,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,133145751.09375,75742.9691141579
17,22042,FALLS CHURCH,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,176353502.242188,99650.4354878271
18,22150,SPRINGFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,215577020.132813,89086.0013440044
22,22199,LORTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,194867.4921875,4269.87234936377
23,22306,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,188406831.859375,99918.266166949
25,20172,HERNDON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,16375.8515625,537.399638244797
26,22205,ARLINGTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,18388.578125,542.778158047961
28,22181,VIENNA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,158039606.921875,81052.5657846924
30,20120,CENTREVILLE,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,460707696.070313,124253.024611901
31,22307,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,85457419.9140625,94799.2789760765
39,20153,CHANTILLY,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,24852.7578125,639.515727520977
40,22003,ANNANDALE,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,352804320.726563,114991.491338198
43,22037,FAIRFAX,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,5131445.578125,9194.82866597205
44,20196,RESTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,534637.640625,2934.01379621426
45,22124,OAKTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,288696752.851563,105995.60485601
46,22161,SPRINGFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,100543.046875,1305.55414497313
47,22044,FALLS CHURCH,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,62472803.984375,61681.1421674545
48,22027,DUNN LORING,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,21307045.5703125,29384.1607541899
49,22304,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,2349816.421875,12492.0859645191
50,20191,RESTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,212259490.304688,88335.891729133
51,22309,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,216520746.039063,70889.1235495787
53,20194,RESTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,80488017.140625,55500.8242413232
54,22015,BURKE,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,233530737.046875,94524.3417575425
55,22311,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,10812949.78125,22402.6722169362
56,22033,FAIRFAX,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,222588605.679688,95242.8222105596
57,20121,CENTREVILLE,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,253885543.492188,87074.0976899173
58,22180,VIENNA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,159526974.53125,83050.5934028467
59,20166,STERLING,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,82279386.484375,43990.0405921079
60,20192,HERNDON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,3765893.1796875,8041.96014615238
61,22185,VIENNA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,115055.765625,2150.4486633149
62,22121,MOUNT VERNON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,1827.078125,180.069476704872
63,22043,FALLS CHURCH,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,132402676.992188,87349.8360615708
64,22032,FAIRFAX,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,204690632.015625,87971.8258264844
65,20195,RESTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,14338.703125,516.371392616109
66,22315,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,160602243.484375,73635.3090572996
69,22203,ARLINGTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,119836.7109375,1418.28719405923
70,22310,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,189351930.234375,104323.905253058
71,22046,FALLS CHURCH,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,78815472.0390625,56135.5544988284
73,22102,MCLEAN,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,352374354.46875,139944.396329178
75,22213,ARLINGTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,414084.9375,5919.59994260762
79,22035,FAIRFAX,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,4515293.4375,14237.6640800484
81,22152,SPRINGFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,169050116.515625,65635.2615291511
83,22182,VIENNA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,343678627.929688,147292.188704025
84,22302,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,2025254.296875,8064.5251644058
86,22039,FAIRFAX STATION,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,688000711.921875,250273.444855493
88,22207,ARLINGTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,1563814.1171875,18630.8447088841
99,22151,SPRINGFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,146588182.640625,68371.733689856
102,22060,FORT BELVOIR,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,371467620.054688,138458.950215835
105,22160,SPRINGFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,201845.03125,1811.88798644891
759,22158,SPRINGFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,54338.5,1306.75166816503
760,22159,SPRINGFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,72273.796875,1267.78037133049
1078,22019,MERRIFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,104895.5390625,1365.45798615154
1081,22018,MERRIFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,69623.1171875,1234.5600017954
1092,22081,MERRIFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,82197.609375,1309.39627872454
1096,22082,MERRIFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,81171.4140625,1290.21825833227
1105,22116,MERRIFIELD,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,81063.1953125,1283.79178480039
1715,20152,CHANTILLY,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,289221.9453125,2230.65818341196
2995,22038,FAIRFAX,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,11981.90625,439.16512217285
3316,22206,ARLINGTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,111934.3046875,1971.62961046248
3635,22030,FAIRFAX,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,540804391.953125,155095.8666186
6515,22303,ALEXANDRIA,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,55823233.2109375,52600.2955244518
7493,22204,ARLINGTON,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,413290.65625,8712.1913017822
8213,20164,STERLING,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,361334.015625,4431.66097061986
11961,22031,FAIRFAX,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,200020082.507813,95600.9521063544
13235,22066,GREAT FALLS,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,710631544.664063,159001.554325178
22200,22009,BURKE,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,25304.6875,678.556885580889
22201,22106,MCLEAN,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,11744.140625,450.653930729371
22202,20122,CENTREVILLE,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,12869.2734375,516.870473058569
27316,20151,CHANTILLY,2023/12/03 06:03:30.012+00,FairfaxCounty,2023/12/03 06:03:30.012+00,FairfaxCounty,361697331.5625,104693.186909718
